relative_path,class,label,candidate5000,random100,coreset100
good\000.png,good,0,3.505455493927002,5.064203262329102,3.8024966716766357
good\001.png,good,0,3.2725210189819336,4.887579917907715,4.173129558563232
good\002.png,good,0,3.2145965099334717,4.847733974456787,3.6458241939544678
good\003.png,good,0,3.0603301525115967,4.653346538543701,3.4694247245788574
good\004.png,good,0,3.590076208114624,4.943674564361572,3.6851308345794678
good\005.png,good,0,3.375225782394409,4.872438907623291,3.565457344055176
good\006.png,good,0,4.207955837249756,4.829986572265625,4.347278118133545
good\007.png,good,0,3.1124014854431152,4.9048309326171875,3.7223641872406006
good\008.png,good,0,3.340744972229004,4.950472831726074,3.628178358078003
good\009.png,good,0,3.7176074981689453,5.073399543762207,3.8804550170898438
good\010.png,good,0,4.331442832946777,5.512643337249756,4.635722637176514
good\011.png,good,0,2.997692346572876,4.966080188751221,3.7334225177764893
good\012.png,good,0,2.845886707305908,5.02087926864624,3.508554220199585
good\013.png,good,0,2.9184587001800537,4.959229946136475,3.706578016281128
good\014.png,good,0,3.09525203704834,4.901254177093506,3.7800304889678955
good\015.png,good,0,3.2690210342407227,4.995085716247559,3.6229426860809326
good\016.png,good,0,3.358438730239868,4.916478157043457,3.885490894317627
good\017.png,good,0,2.930809259414673,4.945563793182373,3.639618158340454
good\018.png,good,0,2.5946552753448486,4.876863956451416,3.433048963546753
good\019.png,good,0,3.6628358364105225,4.689068794250488,3.6862411499023438
broken_large\000.png,broken_large,1,4.5025763511657715,5.187009811401367,4.935107231140137
broken_large\001.png,broken_large,1,4.730846881866455,5.2845563888549805,5.029003143310547
broken_large\002.png,broken_large,1,4.068059921264648,5.289206504821777,4.588982582092285
broken_large\003.png,broken_large,1,3.8180739879608154,5.04769229888916,4.276881694793701
broken_large\004.png,broken_large,1,4.3273539543151855,4.959461688995361,4.818309307098389
broken_large\005.png,broken_large,1,3.921281099319458,4.786388874053955,4.164866924285889
broken_large\006.png,broken_large,1,4.563756942749023,5.056500434875488,4.563756942749023
broken_large\007.png,broken_large,1,3.8916659355163574,4.846505165100098,4.674191951751709
broken_large\008.png,broken_large,1,4.408411979675293,5.735159873962402,4.684131622314453
broken_large\009.png,broken_large,1,4.116615295410156,4.841207027435303,4.225928783416748
broken_large\010.png,broken_large,1,4.065215587615967,4.7598958015441895,4.363183498382568
broken_large\011.png,broken_large,1,4.5276875495910645,4.866335391998291,4.632657051086426
broken_large\012.png,broken_large,1,4.3228230476379395,4.6991801261901855,4.3228230476379395
broken_large\013.png,broken_large,1,3.8356077671051025,5.183425426483154,4.2181925773620605
broken_large\014.png,broken_large,1,4.740814208984375,4.926602363586426,4.926602363586426
broken_large\015.png,broken_large,1,3.9020957946777344,4.878697872161865,4.319869041442871
broken_large\016.png,broken_large,1,4.2257795333862305,4.923462390899658,4.481479167938232
broken_large\017.png,broken_large,1,4.683166980743408,5.083346843719482,4.704403877258301
broken_large\018.png,broken_large,1,4.49322509765625,5.018978118896484,4.80299711227417
broken_large\019.png,broken_large,1,4.0895562171936035,5.22944450378418,4.542323112487793
broken_small\000.png,broken_small,1,4.248709678649902,4.87738561630249,4.3560566902160645
broken_small\001.png,broken_small,1,4.424637317657471,5.244779586791992,4.727527618408203
broken_small\002.png,broken_small,1,4.071892261505127,4.94255256652832,4.38780403137207
broken_small\003.png,broken_small,1,4.45704460144043,5.127665042877197,4.677643775939941
broken_small\004.png,broken_small,1,4.776103973388672,5.459105968475342,4.776103973388672
broken_small\005.png,broken_small,1,4.900588512420654,6.130683898925781,4.900588512420654
broken_small\006.png,broken_small,1,4.136937618255615,4.826688766479492,4.462785720825195
broken_small\007.png,broken_small,1,3.939772605895996,4.874327659606934,4.237655162811279
broken_small\008.png,broken_small,1,4.205415725708008,4.8018364906311035,4.77055549621582
broken_small\009.png,broken_small,1,4.155099391937256,4.814495086669922,4.277397632598877
broken_small\010.png,broken_small,1,4.410207271575928,4.891332626342773,4.618680000305176
broken_small\011.png,broken_small,1,4.4000563621521,4.983437538146973,4.504286289215088
broken_small\012.png,broken_small,1,4.306962490081787,4.780574321746826,4.541689872741699
broken_small\013.png,broken_small,1,4.346771240234375,5.790460586547852,4.346771240234375
broken_small\014.png,broken_small,1,4.277716636657715,4.9109392166137695,4.530550003051758
broken_small\015.png,broken_small,1,3.6797561645507812,4.832802772521973,3.9933571815490723
broken_small\016.png,broken_small,1,4.276543617248535,5.1698760986328125,4.495890140533447
broken_small\017.png,broken_small,1,4.437039852142334,4.928936958312988,4.493314266204834
broken_small\018.png,broken_small,1,4.671933174133301,5.012258529663086,4.89491081237793
broken_small\019.png,broken_small,1,4.956395149230957,5.23772668838501,5.086921691894531
broken_small\020.png,broken_small,1,4.753526210784912,5.262328624725342,5.077328681945801
broken_small\021.png,broken_small,1,4.9314799308776855,5.700704574584961,5.2499680519104
contamination\000.png,contamination,1,3.604329824447632,4.971055030822754,4.184913635253906
contamination\001.png,contamination,1,3.671135902404785,4.926086902618408,3.9853408336639404
contamination\002.png,contamination,1,4.779659748077393,5.275020599365234,5.154299736022949
contamination\003.png,contamination,1,3.460963249206543,5.071633338928223,3.9266486167907715
contamination\004.png,contamination,1,3.6689727306365967,5.234580993652344,3.836864471435547
contamination\005.png,contamination,1,4.024058818817139,5.026839733123779,4.535575866699219
contamination\006.png,contamination,1,4.340752124786377,5.949008941650391,4.411388874053955
contamination\007.png,contamination,1,5.844942092895508,6.2445220947265625,5.989916801452637
contamination\008.png,contamination,1,5.140928745269775,5.585982799530029,5.3394389152526855
contamination\009.png,contamination,1,4.973636627197266,5.658653736114502,5.347514629364014
contamination\010.png,contamination,1,4.244636535644531,4.962738990783691,4.2717437744140625
contamination\011.png,contamination,1,4.188281059265137,5.068902015686035,4.274762153625488
contamination\012.png,contamination,1,3.6472835540771484,5.17515230178833,3.971096992492676
contamination\013.png,contamination,1,5.359642028808594,5.403350353240967,5.436435699462891
contamination\014.png,contamination,1,4.6099982261657715,5.359466552734375,4.969903945922852
contamination\015.png,contamination,1,5.012222766876221,5.359066486358643,5.388859272003174
contamination\016.png,contamination,1,4.4994378089904785,6.043789386749268,4.4994378089904785
contamination\017.png,contamination,1,5.479470252990723,5.758867263793945,5.620658874511719
contamination\018.png,contamination,1,5.956269264221191,6.2292160987854,6.448766231536865
contamination\019.png,contamination,1,3.773937702178955,5.019151210784912,4.123423099517822
contamination\020.png,contamination,1,3.55668568611145,5.483778953552246,3.9902074337005615
